iter	Passed	Remaining
0	371	185406
1	710	177016
2	1057	175141
3	1440	178660
4	1840	182213
5	2184	179861
6	2604	183432
7	2986	183657
8	3346	182588
9	3706	181616
10	4023	178878
11	4358	177259
12	4657	174489
13	5015	174119
14	5387	174204
15	5759	174210
16	6117	173799
17	6486	173699
18	6837	173098
19	7208	173000
20	7599	173335
21	7986	173535
22	8316	172474
23	8734	173236
24	9125	173390
25	9486	172943
26	9857	172697
27	10233	172504
28	10577	171792
29	10938	171375
30	11315	171189
31	11665	170606
32	12029	170235
33	12397	169913
34	12772	169688
35	13126	169188
36	13418	167909
37	13732	166956
38	14079	166429
39	14386	165450
40	14687	164429
41	15007	163651
42	15299	162604
43	15575	161414
44	15882	160588
45	16192	159812
46	16495	158987
47	16795	158154
48	17073	157149
49	17386	156480
50	17727	156071
51	18025	155293
52	18322	154527
53	18619	153781
54	18956	153375
55	19267	152760
56	19575	152142
57	19909	151720
58	20242	151302
59	20570	150851
60	20922	150571
61	21281	150340
62	21648	150168
63	22042	150164
64	22402	149921
65	22725	149436
66	23070	149100
67	23415	148755
68	23802	148676
69	24189	148591
70	24492	147988
71	24877	147880
72	25257	147738
73	25586	147292
74	25974	147191
75	26366	147099
76	26767	147045
77	27157	146929
78	27465	146365
79	27843	146176
80	28210	145926
81	28504	145303
82	28829	144843
83	29177	144500
84	29545	144249
85	29908	143978
86	30244	143574
87	30516	142872
88	30857	142500
89	31198	142128
90	31564	141864
91	31926	141586
92	32289	141311
93	32726	141348
94	33104	141129
95	33489	140936
96	33884	140777
97	34251	140500
98	34669	140427
99	35081	140327
100	35510	140284
101	35876	139987
102	36316	139978
103	36693	139716
104	37100	139568
105	37471	139279
106	37887	139155
107	38318	139080
108	38740	138969
109	39143	138780
110	39492	138401
111	39837	138006
112	40182	137616
113	40487	137088
114	40778	136519
115	41090	136022
116	41418	135583
117	41757	135179
118	42104	134804
119	42449	134422
120	42793	134039
121	43114	133583
122	43418	133079
123	43704	132524
124	44024	132073
125	44374	131714
126	44718	131338
127	45039	130896
128	45388	130535
129	45740	130183
130	46087	129819
131	46435	129455
132	46783	129095
133	47123	128709
134	47479	128371
135	47872	128130
136	48235	127805
137	48558	127377
138	48929	127075
139	49288	126742
140	49639	126387
141	50028	126127
142	50385	125788
143	50682	125297
144	51048	124981
145	51370	124556
146	51671	124081
147	52028	123743
148	52374	123378
149	52709	122987
150	53101	122730
151	53505	122500
152	53870	122176
153	54230	121843
154	54557	121435
155	54855	120962
156	55185	120564
157	55531	120201
158	55807	119687
159	56155	119331
160	56496	118959
161	56766	118438
162	57088	118028
163	57386	117573
164	57656	117059
165	57921	116541
166	58206	116064
167	58540	115686
168	58820	115205
169	59114	114751
170	59435	114353
171	59756	113955
172	60073	113549
173	60397	113158
174	60743	112808
175	61064	112413
176	61385	112019
177	61726	111662
178	62088	111342
179	62425	110978
180	62718	110536
181	63068	110195
182	63411	109843
183	63754	109490
184	64121	109179
185	64469	108835
186	64806	108472
187	65143	108110
188	65508	107794
189	65850	107440
190	66209	107113
191	66579	106804
192	66953	106501
193	67296	106148
194	67590	105718
195	67944	105383
196	68280	105020
197	68583	104607
198	68868	104167
199	69237	103855
200	69588	103517
201	69908	103132
202	70280	102823
203	70586	102420
204	70860	101969
205	71188	101598
206	71508	101217
207	71853	100871
208	72199	100526
209	72514	100138
210	72788	99696
211	73115	99327
212	73440	98955
213	73783	98607
214	74119	98251
215	74471	97915
216	74786	97532
217	75123	97177
218	75484	96854
219	75764	96427
220	76055	96015
221	76371	95636
222	76707	95282
223	77008	94885
224	77346	94534
225	77664	94159
226	78019	93829
227	78369	93493
228	78675	93104
229	78944	92673
230	79264	92303
231	79622	91978
232	79901	91560
233	80254	91229
234	80602	90892
235	80952	90556
236	81295	90214
237	81617	89847
238	81958	89502
239	82302	89161
240	82694	88870
241	83079	88572
242	83470	88278
243	83812	87934
244	84174	87609
245	84544	87294
246	84898	86960
247	85265	86640
248	85631	86319
249	86024	86024
250	86435	85746
251	86730	85354
252	87074	85009
253	87419	84666
254	87794	84351
255	88161	84029
256	88498	83678
257	88793	83287
258	89137	82942
259	89484	82601
260	89776	82208
261	90083	81831
262	90407	81469
263	90698	81078
264	90973	80674
265	91271	80291
266	91573	79912
267	91870	79529
268	92163	79144
269	92439	78744
270	92708	78340
271	92982	77941
272	93305	77583
273	93603	77205
274	93896	76824
275	94191	76445
276	94506	76082
277	94803	75706
278	95102	75332
279	95395	74953
280	95741	74617
281	96076	74272
282	96414	73929
283	96740	73577
284	97074	73231
285	97419	72894
286	97715	72520
287	98042	72170
288	98355	71809
289	98705	71476
290	99022	71119
291	99367	70782
292	99722	70452
293	100074	70120
294	100420	69783
295	100712	69409
296	100782	68884
297	101126	68549
298	101463	68208
299	101791	67860
300	102136	67525
301	102497	67200
302	102842	66864
303	103185	66527
304	103527	66189
305	103862	65847
306	104175	65491
307	104573	65188
308	104896	64838
309	105261	64514
310	105652	64206
311	106045	63899
312	106439	63591
313	106732	63223
314	107096	62897
315	107463	62573
316	107847	62259
317	108220	61937
318	108587	61612
319	108957	61288
320	109307	60953
321	109699	60641
322	110091	60329
323	110455	60000
324	110738	59628
325	111108	59303
326	111474	58976
327	111768	58610
328	112115	58272
329	112466	57937
330	112734	57559
331	113057	57209
332	113368	56854
333	113676	56498
334	113977	56138
335	114324	55801
336	114671	55464
337	115016	55126
338	115351	54783
339	115659	54428
340	116004	54089
341	116347	53751
342	116682	53408
343	116703	52923
344	117109	52614
345	117523	52308
346	117929	51997
347	118335	51686
348	118750	51378
349	119130	51055
350	119511	50732
351	119843	50388
352	120217	50062
353	120559	49722
354	120898	49381
355	121242	49042
356	121580	48700
357	121862	48336
358	122186	47989
359	122539	47654
360	122818	47290
361	123144	46944
362	123460	46595
363	123804	46256
364	124150	45918
365	124490	45578
366	124833	45239
367	125144	44888
368	125487	44549
369	125785	44194
370	126084	43840
371	126406	43494
372	126743	43154
373	127042	42800
374	127392	42464
375	127736	42125
376	128080	41787
377	128444	41455
378	128763	41109
379	129081	40762
380	129432	40426
381	129805	40097
382	130164	39763
383	130498	39421
384	130842	39082
385	131189	38745
386	131533	38406
387	131907	38076
388	132225	37730
389	132616	37404
390	133031	37085
391	133183	36693
392	133590	36371
393	133992	36048
394	134407	35728
395	134771	35394
396	135111	35054
397	135478	34720
398	135810	34378
399	136170	34042
400	136562	33714
401	136884	33369
402	137229	33030
403	137587	32694
404	137856	32336
405	138193	31995
406	138542	31657
407	138909	31322
408	139283	30989
409	139629	30650
410	139976	30311
411	140328	29973
412	140677	29634
413	141043	29298
414	141414	28964
415	141710	28614
416	142033	28270
417	142372	27929
418	142737	27593
419	143077	27252
420	143443	26917
421	143458	26516
422	143769	26170
423	144089	25827
424	144426	25487
425	144753	25145
426	145066	24800
427	145435	24465
428	145725	24117
429	146016	23770
430	146357	23430
